Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Baseline Perp.,Doppler,GroupID
S1B_IW_GRDH_1SDV_20180130T102956_20180130T103021_009399_010E2B_3659,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9399,98,627,2018-01-30T10:30:21.000000,2018-01-30T10:29:56.000000,GRD_HD,2018-01-30T10:29:56.000000,2018-01-30T10:30:21.000000,-10.7845,-73.6277,-10.288805,-72.31176,-9.771483,-74.589287,-11.79585,-72.660889,-11.27296,-74.948288,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180130T102956_20180130T103021_009399_010E2B_3659.zip,1057.3255605697632,None,None,None,0,S1B_IWDV_0627_0632_009399_098
S1B_IW_GRDH_1SDV_20180125T102201_20180125T102226_009326_010BC6_3A32,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9326,25,631,2018-01-25T10:22:26.000000,2018-01-25T10:22:01.000000,GRD_HD,2018-01-25T10:22:01.000000,2018-01-25T10:22:26.000000,-11.8803,-71.8331,-11.38658,-70.51226,-10.866405,-72.791298,-12.892217,-70.868935,-12.366355,-73.158813,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180125T102201_20180125T102226_009326_010BC6_3A32.zip,1054.5447635650637,None,None,None,0,S1B_IWDV_0631_0636_009326_025
S1B_IW_GRDH_1SDV_20180125T102136_20180125T102201_009326_010BC6_781A,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9326,25,626,2018-01-25T10:22:01.000000,2018-01-25T10:21:36.000000,GRD_HD,2018-01-25T10:21:36.000000,2018-01-25T10:22:01.000000,-10.3756,-71.4786,-9.877654,-70.171432,-9.363211,-72.439865,-11.386491,-70.512238,-10.866565,-72.790207,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180125T102136_20180125T102201_009326_010BC6_781A.zip,1044.6661443710327,None,None,None,0,S1B_IWDV_0626_0631_009326_025
S1B_IW_GRDH_1SDV_20180125T102111_20180125T102136_009326_010BC6_ADB1,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9326,25,621,2018-01-25T10:21:36.000000,2018-01-25T10:21:11.000000,GRD_HD,2018-01-25T10:21:11.000000,2018-01-25T10:21:36.000000,-8.8687,-71.1357,-8.367752,-69.836548,-7.858859,-72.096008,-9.877564,-70.17141,-9.363346,-72.438873,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180125T102111_20180125T102136_009326_010BC6_ADB1.zip,1044.466513633728,None,None,None,0,S1B_IWDV_0621_0626_009326_025
S1B_IW_GRDH_1SDV_20180123T103720_20180123T103745_009297_010AD9_3216,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9297,171,617,2018-01-23T10:37:45.000000,2018-01-23T10:37:20.000000,GRD_HD,2018-01-23T10:37:20.000000,2018-01-23T10:37:45.000000,-7.7776,-74.9938,-7.276946,-73.688362,-6.766855,-75.965523,-8.787577,-74.018646,-8.272227,-76.302788,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180123T103720_20180123T103745_009297_010AD9_3216.zip,1048.126940727234,None,None,None,0,S1B_IWDV_0617_0622_009297_171
S1A_IW_GRDH_1SDV_20180119T102216_20180119T102249_020222_022818_890B,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20222,25,626,2018-01-19T10:22:49.000000,2018-01-19T10:22:16.000000,GRD_HD,2018-01-19T10:22:16.000000,2018-01-19T10:22:49.000000,-10.5026,-71.4898,-9.767645,-70.131706,-9.25488,-72.394661,-11.749459,-70.578972,-11.22952,-72.854607,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180119T102216_20180119T102249_020222_022818_890B.zip,1332.9410333633425,None,None,None,0,S1A_IWDV_0626_0632_020222_025
S1A_IW_GRDH_1SDV_20180119T102151_20180119T102216_020222_022818_5461,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20222,25,621,2018-01-19T10:22:16.000000,2018-01-19T10:21:51.000000,GRD_HD,2018-01-19T10:21:51.000000,2018-01-19T10:22:16.000000,-8.7595,-71.0935,-8.257691,-69.797241,-7.750434,-72.051353,-9.767555,-70.131683,-9.255014,-72.393669,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20180119T102151_20180119T102216_020222_022818_5461.zip,1045.0664281845093,None,None,None,0,S1A_IWDV_0621_0626_020222_025
S1B_IW_GRDH_1SDV_20180118T102956_20180118T103021_009224_010873_5444,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9224,98,627,2018-01-18T10:30:21.000000,2018-01-18T10:29:56.000000,GRD_HD,2018-01-18T10:29:56.000000,2018-01-18T10:30:21.000000,-10.7846,-73.6282,-10.288867,-72.312279,-9.771549,-74.589813,-11.795913,-72.661407,-11.273027,-74.948807,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180118T102956_20180118T103021_009224_010873_5444.zip,1058.2545919418335,None,None,None,0,S1B_IWDV_0627_0632_009224_098
S1B_IW_GRDH_1SDV_20180113T102201_20180113T102226_009151_010611_CEA1,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9151,25,631,2018-01-13T10:22:26.000000,2018-01-13T10:22:01.000000,GRD_HD,2018-01-13T10:22:01.000000,2018-01-13T10:22:26.000000,-11.8805,-71.8333,-11.386703,-70.512527,-10.866576,-72.79158,-12.892344,-70.869171,-12.366529,-73.159065,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180113T102201_20180113T102226_009151_010611_CEA1.zip,1052.3468685150146,None,None,None,0,S1B_IWDV_0631_0636_009151_025
S1B_IW_GRDH_1SDV_20180113T102136_20180113T102201_009151_010611_5108,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",9151,25,626,2018-01-13T10:22:01.000000,2018-01-13T10:21:36.000000,GRD_HD,2018-01-13T10:21:36.000000,2018-01-13T10:22:01.000000,-10.3758,-71.4789,-9.877774,-70.17173,-9.363378,-72.440178,-11.386614,-70.512512,-10.866735,-72.790489,None,DESCENDING,https://datapool.asf.alaska.edu/GRD_HD/SB/S1B_IW_GRDH_1SDV_20180113T102136_20180113T102201_009151_010611_5108.zip,1044.156572341919,None,None,None,0,S1B_IWDV_0626_0631_009151_025
